правило_или_проверка_v7;файл_источник;место_в_v8;снято_и_почему
Продающий пол F2 обещание в подзаголовке;verify-copy.mjs ADR-037;gates.promise из offer.promise.result;живет и проверяется до письма
Продающий пол F3 место с целевым действием;verify-copy.mjs ADR-037;cta_form со знаком восклицания в skel и offer.promise.cta;живет
Продающий пол F4 подкрепление блоком функции Д;verify-copy.mjs ADR-037;gates.proof1 из reason.proof;живет
Стоп-лист надписей кнопки;ADR-037;offer.promise.cta и решение d3 гейта;живет как выбор заказчика, а не как список запретов
Waiver продающего пола;verify-copy.mjs;queue.mjs log waiver с обязательным ground;живет и ужесточено. Отступление без основания не принимается
Слой регистра и счет мест с CTA;verify-copy.mjs ADR-034;снято;снято вместе с осями регистра
Предупреждения стиля П.14-П.21 без ворот;verify-copy.mjs;снято;снято. Предупреждение, которое никто не чинит, это шум в отчете
Числа цифрами и кавычки-елочки;verify-copy.mjs;этап 2;этап 2
Бюджет блоков в знаках;verify-copy.mjs ADR-020;pages.yml колонка ЗНАКИ и бюджет документов в build-doc.mjs;живет
Анти-ИИ слой в коммерческом тексте;ADR-020 отменен ADR-022;снято;снято еще в v7 и в v8 не возвращается
block-planner и blueprint как отдельный шаг;ADR-020 ADR-036;снято;снято. Состав страницы считается арифметикой из must_have и skel, отдельный планировщик не нужен
Распил COPY.md на VOICE и COPY-AUDIT;ADR-020;этап 2;этап 2. Решение про файлы писателя принимается вместе со слоем письма
Функция блока вместо требования закрывать боль;ADR-032;pages.yml колонка Ф;живет
Порог покрытия лидеров 50 процентов делает блок обязательным;ADR-017 ADR-032;competitors.market.must_have и арифметика состава;живет. Порог задает разведка, а не константа в промте
Регистр как пятое решение и тон-гейт на трех главных;ADR-034;offer.tone и решение d5 гейта документа 1;снято в части гейта. Три полные главные ради выбора манеры стоили дороже, чем давали
Контракт передачи прототипа и плашка;ADR-035;этап 2;этап 2
Режимы блока рабочий шаблон заглушка;ADR-035;pages.yml колонка FALLBACK;живет в одном столбце вместо трех полей
Независимый верификатор текстов;ADR-035 ADR-025;docs/v8/rubric.md;этап 2. Судья появится вместе со слоем письма и будет судить по рубрике
Ступенчатый анализ и переезд ЦА в анализ;ADR-038;site-market.md и audience в project.json;живет. Сводка ЦА рождается в анализе и едет в контракт
Tier basic и seo как право на платные инструменты;ADR-038;queue.json tier, шаг 0b и глубина замера на шаге 2 в SKILL.md;живет
Деградация только отсутствием данных, никогда флагом режима;ADR-031;gates.ready false не является браком, блок без факта снимается;живет и стало несущим правилом
Источник текстов from-brief;ADR-031 ADR-038;снято;снято еще в v7. Вход в v8 один - project.json
Прототип одним html-файлом;ADR-039;этап 2;этап 2
Служебная стартовая страница и хеш-роутер прототипа;ADR-039;этап 2;этап 2
Гейт состава страниц со скелетами;ADR-038 упрощен;снято;снято решением владельца. Состав выводится арифметикой из замера лидеров, согласовывать нечего
Клиентский документ скелетов в docx;ADR-035;docs/v8 два документа гейта в html;живет в другой форме. Документов два, и оба про смысл, а не про состав блоков
Провенанс факта source и quote;ADR-028 ADR-040;facts[].src и parts/facts-src.json;живет. Цитата-основание живет рядом с контрактом и умирает после гейта
Двухслойный интейк и файл кандидатов лексики;ADR-040;site-intake.md один проход, lexicon в контракте;упрощено до одного слоя. Второй слой кандидатов не дожил ни до одного читателя
